Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","2","Afghanistan","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","2","Afghanistan","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","44","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","3","Albania","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","212","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","3","Albania","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1988","1988","1000 US$","294","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","3","Albania","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","1057","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","3","Albania","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2006","2006","1000 US$","630","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","3","Albania","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","623","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","3","Albania","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2016","2016","1000 US$","331","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2000","2000","1000 US$","14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2001","2001","1000 US$","3001","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","1010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2009","2009","1000 US$","324","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2010","2010","1000 US$","1661","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2015","2015","1000 US$","58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","4","Algeria","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2016","2016","1000 US$","53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","2192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","1421","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","7405","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1999","1999","1000 US$","66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2000","2000","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2001","2001","1000 US$","66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2004","2004","1000 US$","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2005","2005","1000 US$","5695","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2006","2006","1000 US$","4315","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2009","2009","1000 US$","144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2010","2010","1000 US$","364","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2011","2011","1000 US$","325","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2012","2012","1000 US$","738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2013","2013","1000 US$","308","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2014","2014","1000 US$","214","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2015","2015","1000 US$","81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","7","Angola","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2016","2016","1000 US$","113","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","8","Antigua and Barbuda","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1998","1998","1000 US$","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","8","Antigua and Barbuda","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1999","1999","1000 US$","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","8","Antigua and Barbuda","5922","Export Value","30","Rice - total  (Rice milled equivalent)","2009","2009","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","2322","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1995","1995","1000 US$","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5922","Export Value","30","Rice - total  (Rice milled equivalent)","1996","1996","1000 US$","10","A","Aggregate, may include official, semi-official, estimated or calculated data"
